Governorate,Internet_Usage,Home_Internet,Computer_Usage,Digital_Skills,Online_Purchase,Telecom_Spending
Baghdad,98.0,93.4,29.1,58.6,64.4,500.2
Basrah,96.1,98.1,12.6,45.2,52.8,286.7
Nineveh,91.3,88.6,10.3,42.1,44.5,165.8
Babylon,89.9,84.1,7.2,38.4,42.0,248.5
Thi-Qar,90.1,74.5,3.1,33.2,39.5,210.0
Al-Anbar,87.1,88.6,14.0,40.8,41.2,235.4
Diyala,85.8,89.7,12.1,36.5,38.6,215.8
Kirkuk,89.4,90.7,21.6,43.5,46.2,272.0
Salah Al-Deen,89.1,82.0,36.7,46.2,43.1,224.6
Najaf,90.9,88.8,17.6,42.0,47.5,291.1
Wasit,91.4,92.6,46.5,44.8,41.0,220.5
Al-Qadisiya,88.9,84.1,27.1,39.0,38.0,208.4
Kerbela,91.9,86.9,13.4,41.6,48.0,265.0
Missan,92.6,86.9,29.4,37.0,37.4,195.0
Al-Muthanna,84.4,79.2,14.2,32.8,33.5,182.3
Erbil,91.2,91.7,48.0,54.6,46.2,203.4
Sulaymaniyah,85.0,80.6,20.6,48.2,43.8,189.5
Duhok,94.3,92.8,37.4,44.0,41.5,194.2
