Governorate,Governorate_Ar,Internet_Usage,Home_Internet,Computer_Usage,Digital_Skills,Online_Purchase,Telecom_Spending,Smartphone_Ownership,Cash_On_Delivery_Pct,Smart_Payment_Offices,FTTH_Subscribers,Region_Type,Is_Federal,Digital_Readiness,Digital_Talent,E_Commerce_Adoption,FinTech_Opportunity,Overall_Digital_Score,Rank
Baghdad,بغداد,98.0,93.4,29.1,58.6,64.4,500.2,98.0,99.7,63,26260,Federal,True,71.5,38.6,81.8,87.5,69.0,1
Erbil,أربيل,91.2,91.7,48.0,54.6,46.2,203.4,91.2,99.6,0,180000,Kurdistan,False,73.2,58.8,44.7,21.2,52.1,2
Basrah,البصرة,96.1,98.1,12.6,45.2,52.8,286.7,96.1,99.8,22,23000,Federal,True,65.6,25.7,56.5,41.7,48.6,3
Wasit,واسط,91.4,92.6,46.5,44.8,41.0,220.5,91.4,99.8,13,20000,Federal,True,71.2,38.8,43.7,25.8,47.1,4
Najaf,النجف,90.9,88.8,17.6,42.0,47.5,291.1,90.9,99.6,9,30000,Federal,True,62.2,26.9,53.2,36.3,45.9,5
Kirkuk,كركوك,89.4,90.7,21.6,43.5,46.2,272.0,89.4,99.7,15,21000,Federal,True,63.7,28.3,50.5,35.2,45.8,6
Salah Al-Deen,صلاح الدين,89.1,82.0,36.7,46.2,43.1,224.6,89.1,99.8,17,25000,Federal,True,65.3,35.9,44.6,28.4,45.4,7
Duhok,دهوك,94.3,92.8,37.4,44.0,41.5,194.2,94.3,99.8,0,65000,Kurdistan,False,69.6,39.0,42.2,18.3,44.8,8
Kerbela,كربلاء,91.9,86.9,13.4,41.6,48.0,265.0,91.9,99.7,5,35496,Federal,True,60.7,25.5,51.3,31.7,43.8,9
Sulaymaniyah,السليمانية,85.0,80.6,20.6,48.2,43.8,189.5,85.0,99.7,0,140000,Kurdistan,False,60.2,41.2,41.0,18.5,42.3,10
Al-Anbar,الأنبار,87.1,88.6,14.0,40.8,41.2,235.4,87.1,99.8,16,30000,Federal,True,60.0,24.9,44.3,28.9,41.1,11
Al-Qadisiya,القادسية,88.9,84.1,27.1,39.0,38.0,208.4,88.9,99.9,19,25000,Federal,True,62.0,28.9,40.6,25.1,41.0,12
Babylon,بابل,89.9,84.1,7.2,38.4,42.0,248.5,89.9,99.8,20,30355,Federal,True,57.2,21.1,46.4,32.2,40.5,13
Missan,ميسان,92.6,86.9,29.4,37.0,37.4,195.0,92.6,99.8,12,20000,Federal,True,64.0,28.4,39.8,20.8,40.4,14
Nineveh,نينوى,91.3,88.6,10.3,42.1,44.5,165.8,91.3,99.9,23,45000,Federal,True,60.4,25.4,40.5,22.9,39.2,15
Diyala,ديالى,85.8,89.7,12.1,36.5,38.6,215.8,85.8,99.9,23,40000,Federal,True,58.7,23.1,40.9,27.5,39.1,16
Thi-Qar,ذي قار,90.1,74.5,3.1,33.2,39.5,210.0,90.1,99.9,17,20000,Federal,True,52.3,16.2,41.7,25.2,35.2,17
Al-Muthanna,المثنى,84.4,79.2,14.2,32.8,33.5,182.3,84.4,99.9,3,20000,Federal,True,55.0,20.4,35.1,14.9,33.4,18
